idNum	individ_score	GEOG_SCORE	ART_SCORE	LANG_SCORE	WEIGHT_SCORE	Copied_score	Condition	o_score	CopCopied	CopHobs	CopyFreq	CopScore	age	Sex	edu	location
71	57	11	11	17	18	1	A	58	1	0	1	0	30	Male	Masters level MSc/MRes/MA/equivalent	london
74	80	22	21	17	20	3	A	83	2	1	3	0	23	Female	Degree BSc/BA/equivalent	London
76	44	12	10	12	10	0	A	44	0	0	0	0	20	Male	A level/ equivalent	New york
77	61	13	17	13	18	0	A	61	0	1	1	0	20	Female	GCSE or equivalent	
78	52	14	8	12	18	23	A	75	27	3	30	0	41	Male	Apprenticeship / trade / technical / vocational training	preston
81	54	16	12	10	16	0	A	54	0	0	0	0	32	Female	Degree BSc/BA/equivalent	Exeter
82	69	15	23	12	19	2	A	71	2	1	3	0	29	Female	Degree BSc/BA/equivalent	London 
84	58	13	9	16	20	0	A	58	0	0	0	0	48	Female	No formal education completed	manchester
91	46	16	10	10	10	2	A	48	1	1	2	0	39	Female	GCSE or equivalent	London 
92	46	9	8	13	16	11	A	57	9	8	17	0	52	Female	A level/ equivalent	Bristol 
93	49	14	11	10	14	0	A	49	0	0	0	0	33	Female	Degree BSc/BA/equivalent	Durham 
95	75	18	19	19	19	1	A	76	1	1	2	0	43	Female	Degree BSc/BA/equivalent	Andover
100	67	17	13	17	20	0	A	67	0	0	0	0	40	Female	Apprenticeship / trade / technical / vocational training	
101	67	17	15	17	18	0	A	67	0	0	0	0	30	Male	Degree BSc/BA/equivalent	London
104	61	10	19	13	19	8	A	69	3	8	11	0	25	Female	Degree BSc/BA/equivalent	Preston
105	69	15	19	14	21	0	A	69	0	1	1	0	57	Female	Apprenticeship / trade / technical / vocational training	Norwich
107	24	12	3	8	1	22	A	46	18	21	41	0	43	Male	Degree BSc/BA/equivalent	Borehamwood
112	73	17	18	17	21	0	A	73	0	0	0	0	38	Male	A level/ equivalent	London
113	65	15	11	20	19	0	A	65	0	0	0	0	56	Female	GCSE or equivalent	swansea
116	69	17	16	16	20	0	A	69	0	1	2	0	36	Male	A level/ equivalent	london
118	65	16	12	19	18	0	A	65	0	0	0	0	39	Female	Masters level MSc/MRes/MA/equivalent	London
123	70	16	18	18	18	2	A	72	2	0	2	0	62	Male	Apprenticeship / trade / technical / vocational training	london
124	67	12	17	18	20	2	A	69	1	1	2	0	27	Female	Apprenticeship / trade / technical / vocational training	Nottingham 
126	60	14	15	14	17	0	A	60	0	0	0	0	30	Male	A level/ equivalent	London 
131	47	12	15	9	11	4	A	51	4	0	4	0	26	Male	GCSE or equivalent	Leicester
134	67	17	14	14	22	0	A	67	1	0	1	0	43	Male	Degree BSc/BA/equivalent	Reading
137	54	12	14	10	18	1	A	55	2	1	3	0	40	Male	Prefer not to say	Worcester
142	55	13	12	17	13	4	A	59	3	2	5	0	19	Male	GCSE or equivalent	Brighton
151	51	11	10	13	17	1	A	52	0	1	1	0	25	Male	Masters level MSc/MRes/MA/equivalent	London
152	54	15	13	15	11	0	A	54	0	0	0	0	42	Male	Masters level MSc/MRes/MA/equivalent	london
153	58	14	14	16	14	0	A	58	0	0	0	0	42	Male	A level/ equivalent	london
1	67	13	20	16	18	2	B	69	3	1	4	0	999	Other	No formal education completed	entebbe
5	57	15	10	14	18	1	B	58	1	0	1	0	45	Female	Masters level MSc/MRes/MA/equivalent	Edinburgh
6	50	13	11	12	14	0	B	50	1	0	1	0	18	Male	GCSE or equivalent	Wigan
7	82	22	24	13	23	0	B	82	1	0	1	0	62	Male	A level/ equivalent	Newcastle
10	82	23	20	20	19	0	B	82	0	0	0	0	38	Male	A level/ equivalent	London
11	64	11	14	18	21	1	B	65	1	0	1	0	43	Male	GCSE or equivalent	Leeds
15	76	18	23	16	19	1	B	77	1	1	2	0	25	Female	Degree BSc/BA/equivalent	London
20	68	13	14	19	22	1	B	69	2	0	2	0	28	Male	A level/ equivalent	
24	59	11	17	15	16	1	B	60	0	1	1	0	24	Female	A level/ equivalent	London
25	55	15	12	14	14	1	B	56	1	0	1	0	42	Male	Masters level MSc/MRes/MA/equivalent	london
26	71	17	17	18	19	5	B	76	6	2	8	0	38	Female	Degree BSc/BA/equivalent	Swansea
30	57	16	15	13	13	8	B	65	7	6	13	0	49	Male	No formal education completed	Birmingham
33	68	21	15	15	17	0	B	68	0	0	0	0	41	Male	GCSE or equivalent	Harwich 
35	63	12	10	19	22	0	B	63	0	0	0	0	23	Male	Degree BSc/BA/equivalent	Birmingham
39	64	16	12	18	18	0	B	64	0	0	0	0	34	Male	GCSE or equivalent	London
43	53	12	13	11	17	0	B	53	0	0	0	0	18	Male	A level/ equivalent	Derry
45	47	12	11	13	11	0	B	47	0	0	0	0	18	Male	A level/ equivalent	London
48	64	12	16	16	20	0	B	64	0	0	0	0	30	Female	Masters level MSc/MRes/MA/equivalent	Diss
49	69	13	20	16	20	0	B	69	0	1	1	0	39	Male	A level/ equivalent	greater manchester
51	47	11	9	11	16	2	B	49	1	1	2	0	18	Female	A level/ equivalent	Stoke on Trent 
54	59	14	12	17	16	0	B	59	0	0	0	0	30	Female	Apprenticeship / trade / technical / vocational training	dunoon/glasgow
56	59	14	13	14	18	5	B	64	5	4	9	0	25 years 	Female	Apprenticeship / trade / technical / vocational training	Stratford 
57	73	20	15	17	21	1	B	74	1	0	1	0	32	Male	Apprenticeship / trade / technical / vocational training	Exeter
58	54	14	7	14	19	0	B	54	0	0	0	0	45	Female	GCSE or equivalent	Liverpool
65	53	11	14	10	18	1	B	54	1	2	3	0	1997	Female	A level/ equivalent	London
67	70	18	16	18	18	0	B	70	1	0	1	0	39	Female	Degree BSc/BA/equivalent	Aberdeen
72	60	10	14	15	21	1	B	61	1	0	1	0	29	Female	Degree BSc/BA/equivalent	Nottingham
73	72	19	15	15	23	0	B	72	0	0	0	0	25	Female	Degree BSc/BA/equivalent	Cardiff 
75	61	11	12	17	21	0	B	61	1	0	1	0	21	Male	A level/ equivalent	Bristol
79	69	16	18	14	21	0	B	69	0	0	0	0	20	Female	GCSE or equivalent	Birmingham
83	78	20	20	18	20	0	B	78	0	0	0	0	49	Female	Degree BSc/BA/equivalent	Ventnor/Southampton 
87	49	14	10	12	13	0	B	49	0	0	0	0	30	Male	Apprenticeship / trade / technical / vocational training	Exeter 
90	70	17	18	16	19	0	B	70	0	0	0	0	30	Female	Apprenticeship / trade / technical / vocational training	Cardiff
97	56	16	13	10	17	1	B	57	0	1	1	0	39	Female	Apprenticeship / trade / technical / vocational training	Edinburgh
102	60	12	14	12	22	0	B	60	1	0	1	0	36	Male	GCSE or equivalent	Sheffield
103	53	13	12	14	14	2	B	55	1	3	4	0	36	Female	Degree BSc/BA/equivalent	Aberdeen
106	66	16	15	18	17	5	B	71	2	4	6	0	42	Male	A level/ equivalent	Hull
108	60	13	13	14	20	0	B	60	0	0	0	0	27	Female	GCSE or equivalent	Peterborough
110	67	15	19	14	19	2	B	69	3	1	4	0	38	Female	Degree BSc/BA/equivalent	Lowestoft
114	66	11	19	15	21	0	B	66	0	0	0	0	34	Female	Degree BSc/BA/equivalent	Scarborough
115	58	17	15	15	11	0	B	58	0	0	0	0	32	Female	A level/ equivalent	Lincoln
120	59	15	13	16	15	0	B	59	0	0	0	0	42	Male	GCSE or equivalent	London 
121	55	14	11	14	16	0	B	55	0	0	0	0	62	Male	GCSE or equivalent	Felixstowe
125	65	16	17	14	18	2	B	67	1	1	2	0	24	Male	A level/ equivalent	London
128	70	16	17	15	22	3	B	73	1	2	3	0	41	Male	GCSE or equivalent	Sheffield
130	60	13	8	17	22	6	B	66	6	3	9	0	33	Female	Apprenticeship / trade / technical / vocational training	
132	63	15	13	16	19	1	B	64	1	0	1	0	39	Male	A level/ equivalent	Swansea
133	69	14	17	20	18	2	B	71	2	2	4	0	44	Male	A level/ equivalent	manchester
138	56	13	12	15	16	7	B	63	7	3	10	0	34	Male	Masters level MSc/MRes/MA/equivalent	Manchester 
146	76	18	16	19	23	5	B	81	1	6	7	0	28	Male	A level/ equivalent	canterbury
147	46	12	10	11	13	1	B	47	1	0	1	0	19	Male	GCSE or equivalent	Wolverhampton
150	74	19	14	20	21	0	B	74	0	0	0	0	54	Male	GCSE or equivalent	torquay
3	65	15	22	14	14	0	C	65	0	0	0	0	23	Female	A level/ equivalent	Halifax
8	56	9	16	14	17	4	C	60	1	0	7	6	29	Male	Masters level MSc/MRes/MA/equivalent	manchester
9	25	0	8	16	1	0	C	25	0	0	1	0	60	Female	Degree BSc/BA/equivalent	Sheffied
12	77	18	23	15	21	0	C	77	0	0	2	2	55	Male	Degree BSc/BA/equivalent	Cambridge
13	55	15	11	14	15	1	C	56	1	0	1	0	30	Female	Masters level MSc/MRes/MA/equivalent	London 
17	73	17	18	20	18	2	C	75	0	0	3	3	24	Female	Masters level MSc/MRes/MA/equivalent	St Andrews
19	60	13	16	13	18	1	C	61	0	0	1	1	29	Female	Masters level MSc/MRes/MA/equivalent	Manchester 
23	53	9	16	11	17	20	C	73	0	0	31	31	37	Male	A level/ equivalent	Manchester
27	52	9	13	13	17	3	C	55	1	0	4	3	25	Female	A level/ equivalent	Los Angeles 
29	63	14	20	14	15	0	C	63	0	0	0	0	41	Male	GCSE or equivalent	CARDIFF
31	42	14	10	5	13	12	C	54	2	0	20	18	63	Male	No formal education completed	newcastle
32	74	13	21	19	21	0	C	74	0	0	1	1	62	Female	Masters level MSc/MRes/MA/equivalent	Exeter
34	77	18	22	18	19	0	C	77	0	0	0	0	64	Male	Apprenticeship / trade / technical / vocational training	Durham
36	61	17	13	15	16	0	C	61	0	0	0	0	30	Female	Masters level MSc/MRes/MA/equivalent	Newport
40	50	12	12	11	15	0	C	50	0	0	1	1	29	Female	GCSE or equivalent	st helens
44	54	13	12	12	17	0	C	54	0	0	0	0	25	Male	Masters level MSc/MRes/MA/equivalent	Exeter
47	66	17	19	13	17	0	C	66	0	0	0	0	43	Female	Degree BSc/BA/equivalent	london
50	73	17	18	15	23	0	C	73	0	0	0	0	45	Female	Degree BSc/BA/equivalent	London
62	52	12	9	13	18	0	C	52	0	0	1	1	26	Female	Degree BSc/BA/equivalent	london
68	58	14	11	14	19	0	C	58	0	0	0	0	44	Female	Degree BSc/BA/equivalent	Cumnock
69	42	10	3	11	18	19	C	61	1	0	32	31	44	Female	Masters level MSc/MRes/MA/equivalent	Hull
70	44	12	10	9	13	0	C	44	0	0	0	0	37	Female	Masters level MSc/MRes/MA/equivalent	London
80	60	17	15	15	13	0	C	60	0	0	0	0	51	Female	GCSE or equivalent	Staffordshire
85	69	16	18	13	22	0	C	69	0	0	1	1	58	Male	Apprenticeship / trade / technical / vocational training	oxford
86	59	16	9	12	22	9	C	68	1	0	12	11	29	Male	Masters level MSc/MRes/MA/equivalent	Edinburgh
88	56	12	12	16	16	1	C	57	0	0	2	2	34	Male	GCSE or equivalent	Swindon
89	62	13	14	17	18	0	C	62	1	0	1	0	37	Female	Degree BSc/BA/equivalent	Derby
94	58	16	8	12	22	5	C	63	9	0	11	2	47	Male	Degree BSc/BA/equivalent	London
96	68	16	14	18	20	2	C	70	0	0	2	2	29	Female	Degree BSc/BA/equivalent	Staffordshire 
98	67	12	19	16	20	1	C	68	1	0	2	1	28	Female	GCSE or equivalent	Bristol 
99	60	12	15	14	19	4	C	64	1	0	4	3	66	Female	GCSE or equivalent	exeter
109	81	18	24	19	20	0	C	81	0	0	0	0	46	Female	Masters level MSc/MRes/MA/equivalent	Colchester
111	67	16	14	16	21	0	C	67	0	0	0	0	39	Female	GCSE or equivalent	cardiff
117	53	12	9	12	20	1	C	54	0	0	1	1	37	Female	A level/ equivalent	Edinburgh
119	65	12	17	16	20	1	C	66	1	0	2	1	18	Female	A level/ equivalent	Brighton
122	73	20	14	17	22	0	C	73	0	0	0	0	31	Female	Degree BSc/BA/equivalent	LONDON
127	49	9	14	11	15	12	C	61	10	0	16	6	30	Male	Prefer not to say	South Yorkshire
129	55	13	10	15	17	1	C	56	0	0	1	1	18	Male	Prefer not to say	Southampton 
135	55	12	17	13	13	5	C	60	1	0	5	4	35	Male	Doctorate	Glasgow
136	63	16	14	14	19	0	C	63	0	0	2	2	37	Male	A level/ equivalent	Bury st Edmunds 
139	62	13	12	16	21	1	C	63	0	0	1	1	23	Male	GCSE or equivalent	Runcorn
140	55	17	7	15	16	2	C	57	0	0	2	2	31	Male	GCSE or equivalent	nottingham
141	46	14	10	12	10	2	C	48	1	0	3	2	19	Male	GCSE or equivalent	Laindon 
143	57	12	13	19	13	0	C	57	0	0	0	0	29	Male	A level/ equivalent	Blackpool
144	44	11	12	8	13	5	C	49	3	0	6	3	18	Male	Doctorate	Southampyon
145	90	23	23	21	23	0	C	90	0	0	0	0	48	Male	Doctorate	swansea
148	53	13	13	14	13	0	C	53	0	0	0	0	27	Male	GCSE or equivalent	Stockton On Tees
149	62	19	16	11	16	0	C	62	0	0	0	0	27	Male	Prefer not to say	Glasgow
154	58	14	11	12	21	11	C	69	0	0	17	17	27	Male	A level/ equivalent	London
155	67	14	16	17	20	2	C	69	1	0	2	1	35	Male	GCSE or equivalent	London
156	63	17	12	18	16	0	C	63	0	0	0	0	18	Male	GCSE or equivalent	Essex
