ID	FILM	F_OTHER	SPORT_PLAY	S_OTHER	FOOD	FD_OTHER	MUSIC	M_OTHER	INSTRUMENT	I_OTHER	HOB1	HOB2	HOB3	AGE	SEX	EDU	CITY	Overall Score	GEOG SCORE	ART SCORE	LANG SCORE	WEIGHT SCORE
55	Sci-fi		Rugby		Japanese		Alternative		I do not play an instrument		Reading	Cooking	Gaming	23	Female	GCSE or equivalent	Cardiff	66	17	16	14	19
61	Sci-fi		Netball / Basketball		Other (please specify)	"Mix. Im eating everything, and want to try out new food aswell"	Pop		I do not play an instrument		Fishing	Cycling	cooking	27	Male	A level/ equivalent	Manchester	66	15	13	18	20
93	"Comedy,Thriller,Sci-fi"		"Tennis,Football,Rugby,Badminton"		"Chinese,Italian"		"Alternative,Blues / rock,World music"		"Piano,Guitar,Drums"		Running	Watching the television 	Cycling 	20	Male	Degree BSc/BA/equivalent	Blackburn 	66	18	14	11	23
24	Comedy		Netball / Basketball		Indian		"Dubstep,Pop"		Drums		Cooking	Netball	Football	19	Female	GCSE or equivalent	Chester	67	18	15	15	19
41	Horror		Football		Indian		Electronic		I do not play an instrument		music	gym	hiking	38	Male	A level/ equivalent	london	67	18	16	13	20
74	Comedy		Tennis		Chinese		Other (please specify)	r n b	"Piano,Guitar"		yoga	swimming	knitting 	31	Female	GCSE or equivalent	Peterbrough 	67	14	15	18	20
76	Thriller		Tennis		Chinese		Electronic		Piano		Socialising	Reading	TV	20	Female	A level/ equivalent	Newcastle	67	14	19	15	19
85	"Comedy,Thriller,Sci-fi,Children's animation/Disney,Epic/historical/war,Documentary/true story,Musical"		"Tennis,Badminton"		Italian		"Classical,Pop"		Piano		walking	watching films	watching tv	19	Male	A level/ equivalent	Solihull	67	15	15	16	21
1	Horror		Other (please specify)	Horse riding 	Chinese		Other (please specify)	Musical soundtrack 	I do not play an instrument		Acting 	Horse riding 	Na	23	Female	A level/ equivalent	Ormskirk 	68	16	16	14	22
25	Thriller		Other (please specify)	Equestrian 	Other (please specify)	Pakistani 	Other (please specify)	Naat and Nasheed 	"Flute,Oboe,Basoon,Clarinet,Other (please specify)"	Most woodwinds	Reading	Cooking	Horse riding	36	Female	A level/ equivalent	Birmingham	68	13	15	17	23
31	"Comedy,Thriller,Sci-fi,Children's animation/Disney"		"Netball / Basketball,Volleyball"		Chinese		"Alternative,Pop"		Piano		Reading	Gaming	Cooking	26	Female	A level/ equivalent	Newcastle	68	14	17	15	22
94	Comedy		Rounders		Thai		World music		"Piano,Flute"		Walking	Meditation	You tube	46	Male	Masters level MSc/MRes/MA/equivalent	Brentford London	68	15	19	14	20
53	Documentary/true story		Netball / Basketball		Chinese		Blues / rock		I do not play an instrument		reading 	cooking 	travelling	42	Female	Degree BSc/BA/equivalent	Manchester	69	14	20	15	20
67	"Horror,Epic/historical/war,Documentary/true story"		Football		"Thai,Italian"		"Heavy Metal,Alternative,Blues / rock"		Piano		Cooking	Yoga	Reading	27	Female	Masters level MSc/MRes/MA/equivalent	London	69	12	22	13	22
83	Horror		Tennis		Indian		"Heavy Metal,Blues / rock"		I do not play an instrument		fishing	walking	sailing	53	Male	No formal education completed	London	69	13	19	14	23
50	Horror		Football		Chinese		Heavy Metal		I do not play an instrument		walking	reading	dining	42	Female	GCSE or equivalent	deeside	70	16	15	19	20
70	Sci-fi		Football		Chinese		Folk		I do not play an instrument		cooking	reading	surfing internet	56	Male	GCSE or equivalent	colchester	70	18	14	17	21
81	Horror		Cricket		Indian		Blues / rock		"Piano,Guitar"		Reading	Cycling	Skateboarding 	18	Male	A level/ equivalent	London	70	19	18	18	15
82	Thriller		Other (please specify)	Golf	Italian		Blues / rock		I do not play an instrument		Jigsaw 	Golf	Cycling 	56	Male	GCSE or equivalent	Plymouth 	71	17	18	13	23
42	Sci-fi		Other (please specify)	Canoe polo	"Mexican,Italian"		"Alternative,Blues / rock"		Guitar		Swimming	Running	Reading novels	21	Female	Degree BSc/BA/equivalent	Glasgow	72	18	17	15	22
3	Romantic comedy		Netball / Basketball		Italian		Pop		I do not play an instrument		Watching tv	Walking dog	Playing games	20	Female	GCSE or equivalent	Cardiff 	73	18	15	18	22
57	Sci-fi		Tennis		Chinese		Electronic		Drums		stamp collecting	snooker 	darts	58	Male	Degree BSc/BA/equivalent	birmingham	75	18	18	19	20
45	Horror		Other (please specify)	swimming	Indian		Folk		Piano		painting	knitting	collecting victorian valentines	53	Female	Degree BSc/BA/equivalent	London	76	14	25	19	18
56	Horror		Netball / Basketball		Italian		Alternative		"Guitar,Clarinet"		Drawing	Baking	Reading	18	Female	A level/ equivalent	London	76	15	24	15	22
97	Sci-fi		Hockey		Chinese		Blues / rock		"Guitar,Drums"		Reading	Listening to music	Hockey	45	Male	Degree BSc/BA/equivalent	Wolverhampton 	76	18	22	16	20
72	Horror		Tennis		Italian		Folk		Violin		gardening	yoga	reading	46	Female	A level/ equivalent	Manchester	78	19	20	21	18
23	Sci-fi		Other (please specify)	Swimming 	Italian		Classical		I do not play an instrument		Cooking	Walking	Theme parks	37	Female	Degree BSc/BA/equivalent	Birmingham	80	18	19	20	23
86	Sci-fi		Rugby		Indian		Classical		"Piano,Oboe,Clarinet"		Cooking	Running	Opera	37	Male	Degree BSc/BA/equivalent	Reading	80	18	18	19	25
20	Other (please specify)	Fantasy	Badminton		Japanese		Electronic		"Piano,Cello"		Cycling	Reading	Gardening	38	Female	A level/ equivalent	Cambridge	82	17	24	21	20
33	Thriller		Badminton		Italian		Dubstep		I do not play an instrument		Gardening	Reading	Watching movies	31	Female	Masters level MSc/MRes/MA/equivalent	Coventry	84	20	24	19	21
																		61.09708738	14.78640777	14.24271845	14.39805825	17.66990291
																		43	10	5	8	9
																		84	20	25	21	25
																						
